title,units,description,prereqs,coreqs,grading_type,note,combined
CMPE 30 - Programming Concepts and Methodology,3 unit(s),"Introduction to programming; overview of computer organization and introduction to software engineering. Topics include methodologies for program design, development, style, testing, and documentation; algorithms, control structures, functions, and elementary data structures. Lecture 2 hours/lab 3 hours.",No prerequisites,MATH 30 or MATH 30X or equivalent.,Letter Graded,No additional notes,"Title: CMPE 30 - Programming Concepts and Methodology; description: Introduction to programming; overview of computer organization and introduction to software engineering. Topics include methodologies for program design, development, style, testing, and documentation; algorithms, control structures, functions, and elementary data structures. Lecture 2 hours/lab 3 hours.; units: 3 unit(s); prereqs: No prerequisites; coreqs: MATH 30 or MATH 30X or equivalent.; grading_type: Letter Graded"
CMPE 50 - Object-Oriented Concepts and Methodology,3 unit(s),"Application of object-oriented software engineering techniques to the design and development of larger programs; data abstraction, structures, classes and associated algorithms. Misc/Lab: Lecture 2 hours/lab 3 hours.",CMPE 30 with a minimum grade of C-. Computer Engineering and Software Engineering Majors only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 50 - Object-Oriented Concepts and Methodology; description: Application of object-oriented software engineering techniques to the design and development of larger programs; data abstraction, structures, classes and associated algorithms. Misc/Lab: Lecture 2 hours/lab 3 hours.; units: 3 unit(s); prereqs: CMPE 30 with a minimum grade of C-. Computer Engineering and Software Engineering Majors only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 92 - International Program Studies,1-6 unit(s),"Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.",No prerequisites,No corequisites,Mixed Grading,No additional notes,"Title: CMPE 92 - International Program Studies; description: Study Abroad and Away transfer credit course. Study Abroad and Away provides students the opportunity to study abroad on long term programs (Exchange Programs, CSU International Programs, and International Student Exchange Programs) and short-term programs (Faculty-Led Programs and Summer School Abroad Programs) for academic credit, offering Alternative Break Programs for cultural immersion, and designing other globally focused opportunities. This course is designated as a placeholder course for Study Abroad and Away programs.; units: 1-6 unit(s); prereqs: No prerequisites; coreqs: No corequisites; grading_type: Mixed Grading"
CMPE 102 - Assembly Language Programming,3 unit(s),"Assembly programming; assembly-C interface; CPU and memory organization; addressing modes; arithmetic, logic and branch instructions; arrays, pointers, subroutines, stack and procedure calls; software interrupts; multiplication, division and floating point arithmetic.","CMPE 50 or CS 46B (with grade of C- or better) Sophomore or upper division standing. Allowed Declared Majors: Computer Engineering, Software Engineering.",No corequisites,Letter Graded,No additional notes,"Title: CMPE 102 - Assembly Language Programming; description: Assembly programming; assembly-C interface; CPU and memory organization; addressing modes; arithmetic, logic and branch instructions; arrays, pointers, subroutines, stack and procedure calls; software interrupts; multiplication, division and floating point arithmetic.; units: 3 unit(s); prereqs: CMPE 50 or CS 46B (with grade of C- or better) Sophomore or upper division standing. Allowed Declared Majors: Computer Engineering, Software Engineering.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 110 - Electronics for Computing Systems,3 unit(s),"RC, RL and RLC circuit analysis, diodes and diode circuits, MOSFET and bipolar transistor I-V characteristics and circuits, CMOS logic circuits, CMOS-TTL interface, sensors and signal conditioning circuits using operational amplifiers, A/D and D/A converters, electromechanical device control. Lecture 2 hours/lab 3 hours.","EE 97 , EE 98 , MATH 33LA , all with a grade of C or better. Allowed Declared Majors: Computer Engineering and Software Engineering.",No corequisites,Letter Graded,No additional notes,"Title: CMPE 110 - Electronics for Computing Systems; description: RC, RL and RLC circuit analysis, diodes and diode circuits, MOSFET and bipolar transistor I-V characteristics and circuits, CMOS logic circuits, CMOS-TTL interface, sensors and signal conditioning circuits using operational amplifiers, A/D and D/A converters, electromechanical device control. Lecture 2 hours/lab 3 hours.; units: 3 unit(s); prereqs: EE 97 , EE 98 , MATH 33LA , all with a grade of C or better. Allowed Declared Majors: Computer Engineering and Software Engineering.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 120 - Computer Organization and Architecture,3 unit(s),"Introduction to computer organization and architecture, system buses, internal memory and external memory, input/output, central processing unit CPU, instruction sets, CPU structure and function, RISC, control unit.",CMPE 50 or CS 46B (with a grade of C- or better). Computer Engineering and Software Engineering Majors Only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 120 - Computer Organization and Architecture; description: Introduction to computer organization and architecture, system buses, internal memory and external memory, input/output, central processing unit CPU, instruction sets, CPU structure and function, RISC, control unit.; units: 3 unit(s); prereqs: CMPE 50 or CS 46B (with a grade of C- or better). Computer Engineering and Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 124 - Digital Design I,3 unit(s),Combinational and sequential logic theory and circuits. Emphasis on mixed logic and algorithmic state machines. Design projects using standard integrated circuit packages. Misc/Lab: Lecture 2 hours/lab 3 hours.,EE 97 and EE 98 (both with C or better). Computer Engineering or Software Engineering Majors Only.,No corequisites,Letter Graded,No additional notes,Title: CMPE 124 - Digital Design I; description: Combinational and sequential logic theory and circuits. Emphasis on mixed logic and algorithmic state machines. Design projects using standard integrated circuit packages. Misc/Lab: Lecture 2 hours/lab 3 hours.; units: 3 unit(s); prereqs: EE 97 and EE 98 (both with C or better). Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded
CMPE 125 - Digital Design II,3 unit(s),"Digital system building blocks, data path and control units, system-level RTL design, Verilog HDL for design and verification, contemporary design flow and methodology, lab experiments using industry standard CAD tools and field programmable gate array (FPGA) devices. Misc/Lab: Lecture 2 hours/lab 3 hours.",CMPE 124 (with grade of C- or better). Computer Engineering or Software Engineering Majors Only.,No corequisites,Letter Graded,No additional notes,"Title: CMPE 125 - Digital Design II; description: Digital system building blocks, data path and control units, system-level RTL design, Verilog HDL for design and verification, contemporary design flow and methodology, lab experiments using industry standard CAD tools and field programmable gate array (FPGA) devices. Misc/Lab: Lecture 2 hours/lab 3 hours.; units: 3 unit(s); prereqs: CMPE 124 (with grade of C- or better). Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 126 - Algorithms and Data Structure Design,3 unit(s),"Object-oriented data organization and representation as strings, arrays, stacks, queues, dequeues, lists, sets, trees, tables, and graphs. Sorting and searching and algorithm design and performance analysis. Lecture 2 hours/Lab 3 hours.","ENGR 10 , CMPE 50 , and MATH 42 or MATH 42X (all with a grade of C- or better). Allowed Declared Majors: Computer Engineering or Software Engineering.",No corequisites,Letter Graded,No additional notes,"Title: CMPE 126 - Algorithms and Data Structure Design; description: Object-oriented data organization and representation as strings, arrays, stacks, queues, dequeues, lists, sets, trees, tables, and graphs. Sorting and searching and algorithm design and performance analysis. Lecture 2 hours/Lab 3 hours.; units: 3 unit(s); prereqs: ENGR 10 , CMPE 50 , and MATH 42 or MATH 42X (all with a grade of C- or better). Allowed Declared Majors: Computer Engineering or Software Engineering.; coreqs: No corequisites; grading_type: Letter Graded"
CMPE 127 - Microprocessor Design I,3 unit(s),Microprocessor architecture and assembly language. Design of peripheral blocks and their interfaces to the microprocessor. Design projects using standard integrated circuit packages. Misc/Lab: Lecture 2 hours/lab 3 hours.,CMPE 124 with a grade of C- or better; Computer Engineering or Software Engineering Majors Only.,No corequisites,Letter Graded,No additional notes,Title: CMPE 127 - Microprocessor Design I; description: Microprocessor architecture and assembly language. Design of peripheral blocks and their interfaces to the microprocessor. Design projects using standard integrated circuit packages. Misc/Lab: Lecture 2 hours/lab 3 hours.; units: 3 unit(s); prereqs: CMPE 124 with a grade of C- or better; Computer Engineering or Software Engineering Majors Only.; coreqs: No corequisites; grading_type: Letter Graded
